Name,PNG,QB3 Fast,QB3 Base,QB3 Best,QB3 Best Band,QB3 + Zstd
1454804,244000,-722646,-674577,-355805,293045,1879226
1391487,434153,-699975,-651404,-332483,324759,1918541
239581,296042,-676844,-627802,-308583,348659,1954679
pexels-photo-1029599,512806,-653245,-603695,-284310,372932,1987955
1545529,273739,-629543,-579623,-259422,397820,2029567
164338,480370,-605776,-555328,-234570,422672,2069943
225228,360698,-581584,-530531,-209421,447821,2104324
2599868,315077,-556204,-504452,-183057,474185,2147351
160577,364978,-530031,-477890,-156323,500919,2182687
pexels-photo-1544724,458796,-503816,-450843,-127579,529663,2221168
2504911,466255,-477120,-423426,-98738,558504,2265891
2736139,398462,-450366,-395989,-70289,586953,2311934
3214023,379084,-423596,-368834,-42900,619110,2356359
1624307,512726,-396012,-340748,-14735,647275,2390838
162511,531679,-367666,-311783,14300,676310,2432628
2156881,340658,-339167,-282828,43436,707320,2472349
3316926_opo25u,308660,-310247,-253417,73493,737377,2514213
3315291,347402,-281276,-223850,103489,767373,2558718
pexels-photo-951408,348297,-251909,-193847,133877,797761,2602659
3330118,283099,-222160,-163770,164123,828007,2647177
1428647,367608,-192347,-133552,194483,858367,2687283
1001682,404438,-162533,-103516,224738,888622,2724723
53435,513319,-131729,-72390,255941,919825,2757988
pexels-photo-2802032,404615,-100819,-40918,287624,954621,2804796
7394483,303260,-69813,-9387,319460,986457,2851422
7062177,415045,-38575,22620,351943,1018940,2899902
6763758,381475,-7085,54631,384269,1051266,2941542
7256805,257379,24462,86595,416831,1083828,2991039
670530,260486,56014,118471,448928,1115925,3038681
2263510,356068,88253,151350,483217,1150214,3089574
164595,354189,120543,184146,516803,1183800,3140316
3779187,553143,153688,217866,550770,1217767,3184016
3705529,359398,187142,251874,585172,1252169,3233489
159741,377561,220763,285938,619715,1286712,3277449
631317,525935,254423,319994,654342,1321339,3312054
pexels-photo-7078290,428332,288480,354448,688946,1355943,3360395
26103251787_d8635e260d_o,390770,322554,389102,725265,1392262,3409165
5894435,308301,356935,423962,761714,1428711,3456303
1583339,381602,391554,459011,797157,1464154,3504240
pexels-photo-3289880,310744,426190,494011,832416,1499413,3551098
1183021,286123,461524,529697,868358,1535355,3598541
2693212,509821,497255,565901,904749,1577556,3649017
3637739,298433,533019,602058,941273,1614080,3703824
844297,310745,568797,638303,978185,1650992,3752358
2866385,371075,604701,674497,1014462,1687269,3798940
1583244,324878,641371,711519,1052437,1725244,3851133
3779828,490567,678174,748915,1090140,1766303,3901243
pexels-photo-3155588,346812,715167,786483,1128573,1804736,3950888
1130683,489659,752256,824158,1166337,1842500,3998630
pexels-photo-7114620,352878,789864,862242,1205029,1881192,4046589
2190188,408083,827582,900421,1243444,1920227,4096827
1292115,300494,865871,939023,1282087,1958870,4146615
pexels-photo-4405455,452453,904217,977929,1321076,1997859,4192035
pexels-photo-4354221,417958,942782,1017063,1360469,2037252,4241048
pexels-photo-4577831,379658,981467,1056021,1399742,2076525,4290792
60003,402410,1020337,1095500,1439398,2116181,4341009
1370704,383655,1059453,1135062,1479217,2156000,4393441
pexels-photo-3193731,375071,1098679,1174812,1519443,2196226,4444186
5617414,358075,1138667,1215519,1560833,2237616,4501322
pexels-photo-7078476,492134,1178806,1256261,1601654,2278437,4553846
5055743,367867,1219041,1296964,1642698,2319481,4604736
14768480444_bc0a1b4a2e_o,428625,1260358,1338890,1691684,2368467,4666792
1248582,447213,1301783,1380890,1733843,2417562,4726212
