Name,PNG,QB3 Fast,QB3 Base,QB3 Best,QB3 Best Band,QB3 + Zstd
261045,380522,367482,367115,366758,366758,354985
6763758,381475,348676,348275,347953,347953,338851
1583339,381602,346104,345780,345376,345376,333124
pexels-photo-2846602,381965,338387,337903,337370,337370,326701
5146462,382986,387734,387252,386830,386830,370807
pexels-photo-1933873,383335,324440,324009,323644,323644,314027
1370704,383655,343316,342981,342716,342716,330155
35875869841_0b10e41e57_o,383688,325225,324734,323273,323273,311658
5184684,385939,331476,331112,330903,330903,320573
1082342,389060,432520,432227,431405,385554,380421
580612,390659,386753,386375,386080,386080,375490
26103251787_d8635e260d_o,390770,355458,355011,353324,353324,341278
2062426,393147,381377,380964,380749,380749,364670
209864,393496,320431,320196,319605,319605,309227
1287145,394364,325990,325719,325632,325632,313857
3363331,394630,325754,325472,325075,325075,312315
2736139,398462,370837,370306,369303,369303,352136
3534924,401696,322712,322452,322401,322401,313508
60003,402410,362230,361754,361575,361575,351355
708587,402976,384363,384029,383242,380001,371195
1001682,404438,373667,373511,373287,373287,366118
pexels-photo-2802032,404615,372636,372196,371978,368773,357117
3004909,404637,354565,354140,353906,353906,340530
2600340,405115,358976,358636,358392,358392,349463
1424246,405602,435104,434773,434737,383312,376127
675951,405691,414878,414598,414466,414466,414062
pexels-photo-2811087,406020,318177,317806,317674,317674,307336
2190188,408083,369145,368792,368553,367909,357055
1661950,408198,397329,396936,396515,396515,390705
459728,413455,410903,410449,410268,410268,400944
2079234,413982,353282,352949,352734,352734,338696
3653963,414822,370662,370322,369954,369954,361343
1624487,415037,403260,402905,402782,402782,400558
7062177,415045,382662,382049,381574,381574,365855
7062219,416014,426533,425969,425550,425550,406740
2208891,417150,403450,402735,402159,402159,387043
1189261,417439,423912,423513,423116,407653,399156
pexels-photo-4354221,417958,378421,377981,377724,377724,368431
3493730,420982,344693,344362,344297,344297,336937
258947,424591,406363,405987,405967,405967,397349
pexels-photo-635405,424835,447387,446740,446656,446656,440185
207691,424963,433113,432698,432571,432571,420189
5739122,425673,363940,363541,362734,362734,350035
pexels-photo-796526,427380,325428,325065,324693,324693,315055
pexels-photo-7078290,428332,393296,392987,392837,392837,379551
3396657,428620,367889,367530,367357,367357,361570
14768480444_bc0a1b4a2e_o,428625,386300,385805,378750,378750,366047
1618269,430324,422759,422356,421855,421855,413785
